iteration,error_train,error_test,accuracy_train,accuracy_test,time,min_temp
1,0.6102150537634409,0.6222222222222222,0.3897849462365591,0.37777777777777777,0.5884549539987347,0.2
6,0.5827956989247312,0.5985663082437276,0.4172043010752688,0.4014336917562724,0.5832955699988815,1.2
11,0.5084229390681003,0.5125448028673835,0.4915770609318996,0.4874551971326165,0.5367847749985231,2.2
16,0.4908602150537634,0.46236559139784944,0.5091397849462366,0.5376344086021505,0.5660282949975226,3.2
21,0.535663082437276,0.5598566308243728,0.464336917562724,0.44014336917562724,0.5346294539995142,4.2
26,0.5120071684587814,0.48960573476702507,0.48799283154121864,0.5103942652329749,0.5345505959994625,5.2
31,0.4521505376344086,0.414336917562724,0.5478494623655914,0.5856630824372759,0.543125592997967,6.2
36,0.46308243727598564,0.44946236559139785,0.5369175627240144,0.5505376344086022,0.52967335500216,7.2
41,0.6274193548387097,0.6430107526881721,0.3725806451612903,0.35698924731182796,0.521345408000343,8.2
46,0.3917562724014337,0.3992831541218638,0.6082437275985663,0.6007168458781362,0.5227035910029372,9.2
51,0.47724014336917564,0.45161290322580644,0.5227598566308244,0.5483870967741935,0.5214955289993668,10.2
56,0.4913978494623656,0.4759856630824373,0.5086021505376344,0.5240143369175627,0.5224772130022757,11.2
61,0.5541218637992832,0.5641577060931899,0.44587813620071687,0.43584229390681006,0.5255913559994951,12.2
66,0.5919354838709677,0.6222222222222222,0.4080645161290323,0.37777777777777777,0.5298532980013988,13.2
71,0.6754480286738351,0.6967741935483871,0.32455197132616487,0.3032258064516129,0.5477625169987732,14.2
76,0.5872759856630825,0.5512544802867384,0.4127240143369176,0.44874551971326165,0.529882736998843,15.2
81,0.5381720430107527,0.5318996415770609,0.46182795698924733,0.46810035842293907,0.5284425230020133,16.2
86,0.6931899641577061,0.7125448028673835,0.3068100358422939,0.28745519713261647,0.5260452289985551,17.2
91,0.5344086021505376,0.5225806451612903,0.46559139784946235,0.4774193548387097,0.5299898340017535,18.2
96,0.6883512544802868,0.6774193548387096,0.3116487455197133,0.3225806451612903,0.5334777030002442,19.2
101,0.5693548387096774,0.5555555555555556,0.4306451612903226,0.4444444444444444,0.5320671850022336,20.2
106,0.5229390681003584,0.5154121863799284,0.47706093189964155,0.4845878136200717,0.5420211810014735,21.2
111,0.2901433691756272,0.27885304659498206,0.7098566308243728,0.7211469534050179,0.5176879319988075,22.2
116,0.3664874551971326,0.34408602150537637,0.6335125448028673,0.6559139784946236,0.5303718670002127,23.2
121,0.36093189964157707,0.33763440860215055,0.639068100358423,0.6623655913978495,0.5261444110001321,24.2
126,0.6992831541218638,0.6960573476702508,0.3007168458781362,0.3039426523297491,0.5534212490019854,25.2
131,0.5586021505376344,0.5426523297491039,0.4413978494623656,0.45734767025089607,0.5307542299997294,26.2
136,0.4003584229390681,0.3971326164874552,0.5996415770609319,0.6028673835125448,0.5214474530002917,27.2
141,0.453584229390681,0.4645161290322581,0.546415770609319,0.535483870967742,0.5271012250013882,28.2
146,0.2722222222222222,0.25806451612903225,0.7277777777777777,0.7419354838709677,0.5246621529986442,29.2
151,0.3548387096774194,0.33978494623655914,0.6451612903225806,0.6602150537634408,0.5220445099985227,30.2
156,0.5408602150537635,0.5698924731182796,0.4591397849462366,0.43010752688172044,0.5313039659995411,31.2
161,0.6770609318996416,0.6688172043010753,0.32293906810035844,0.3311827956989247,0.5267413090004993,32.2
166,0.5939068100358423,0.5956989247311828,0.4060931899641577,0.4043010752688172,0.5339890370014473,33.2
171,0.4265232974910394,0.42939068100358424,0.5734767025089605,0.5706093189964158,0.5285437510028714,34.2
176,0.5050179211469534,0.49032258064516127,0.49498207885304657,0.5096774193548387,0.5253287790001195,35.2
181,0.5544802867383513,0.5405017921146953,0.44551971326164874,0.45949820788530465,0.5305239549998078,36.2
186,0.5541218637992832,0.5483870967741935,0.44587813620071687,0.45161290322580644,0.5274894859976484,37.2
191,0.5050179211469534,0.5032258064516129,0.49498207885304657,0.4967741935483871,0.5255508959999133,38.2
196,0.4632616487455197,0.4831541218637993,0.5367383512544803,0.5168458781362008,0.5280833169999823,39.2
201,0.6586021505376344,0.6845878136200717,0.34139784946236557,0.3154121863799283,0.5318172689985659,40.2
206,0.6281362007168458,0.6415770609318996,0.3718637992831541,0.35842293906810035,0.5346404470001289,41.2
211,0.5639784946236559,0.5577060931899641,0.4360215053763441,0.44229390681003583,0.5362243349991331,42.2
216,0.3951612903225806,0.4129032258064516,0.6048387096774194,0.5870967741935483,0.525241539999115,43.2
221,0.5702508960573477,0.5799283154121864,0.4297491039426523,0.42007168458781363,0.5405875500000548,44.2
226,0.5650537634408602,0.5720430107526882,0.4349462365591398,0.42795698924731185,0.530411561998335,45.2
231,0.43476702508960574,0.43082437275985663,0.5652329749103943,0.5691756272401434,0.5274094119995425,46.2
236,0.5702508960573477,0.556989247311828,0.4297491039426523,0.443010752688172,0.5227306509987102,47.2
241,0.6345878136200717,0.632258064516129,0.36541218637992834,0.36774193548387096,0.552781705999223,48.2
246,0.46272401433691757,0.43655913978494626,0.5372759856630824,0.5634408602150538,0.5278254250006285,49.2
251,0.5623655913978495,0.5232974910394266,0.4376344086021505,0.4767025089605735,0.5252264930022648,50.2
256,0.7236559139784946,0.753405017921147,0.2763440860215054,0.24659498207885305,0.521236095999484,51.2
261,0.39480286738351256,0.3548387096774194,0.6051971326164874,0.6451612903225806,0.5538103759972728,52.2
266,0.29050179211469535,0.2709677419354839,0.7094982078853047,0.7290322580645161,0.5361594079986389,53.2
271,0.36469534050179214,0.374910394265233,0.6353046594982079,0.625089605734767,0.523601767999935,54.2
276,0.7340501792114695,0.753405017921147,0.26594982078853047,0.24659498207885305,0.534653350001463,55.2
281,0.39946236559139786,0.4007168458781362,0.6005376344086022,0.5992831541218638,0.5211772650000057,56.2
286,0.4111111111111111,0.4229390681003584,0.5888888888888889,0.5770609318996416,0.5227644240003428,57.2
291,0.35017921146953407,0.34767025089605735,0.649820788530466,0.6523297491039427,0.525504009998258,58.2
296,0.6078853046594982,0.6043010752688172,0.3921146953405018,0.3956989247311828,0.551140455998393,59.2
301,0.36594982078853044,0.34910394265232975,0.6340501792114696,0.6508960573476702,0.5340346510020026,60.2
306,0.27813620071684586,0.25519713261648747,0.7218637992831541,0.7448028673835125,0.5253714219979884,61.2
311,0.7288530465949821,0.7562724014336918,0.27114695340501793,0.24372759856630824,0.5286855420017673,62.2
316,0.7270609318996416,0.7548387096774194,0.27293906810035845,0.24516129032258063,0.5206256109995593,63.2
321,0.6335125448028673,0.6609318996415771,0.3664874551971326,0.33906810035842294,0.5336134450008103,64.2
326,0.3125448028673835,0.27598566308243727,0.6874551971326165,0.7240143369175627,0.5306785809989378,65.2
331,0.3050179211469534,0.3254480286738351,0.6949820788530466,0.6745519713261648,0.5311654819997784,66.2
336,0.4507168458781362,0.4229390681003584,0.5492831541218638,0.5770609318996416,0.5327516460019979,67.2
341,0.4489247311827957,0.43655913978494626,0.5510752688172043,0.5634408602150538,0.531888561003143,68.2
346,0.42616487455197133,0.43082437275985663,0.5738351254480287,0.5691756272401434,0.5286650710004324,69.2
351,0.5849462365591398,0.5870967741935483,0.4150537634408602,0.4129032258064516,0.5374724350003817,70.2
356,0.46236559139784944,0.46093189964157705,0.5376344086021505,0.5390681003584229,0.5349977770019905,71.2
361,0.3062724014336918,0.2860215053763441,0.6937275985663083,0.7139784946236559,0.5315243430013652,72.2
366,0.6059139784946237,0.5870967741935483,0.39408602150537636,0.4129032258064516,0.5326220050010306,73.2
371,0.5600358422939068,0.5397849462365591,0.4399641577060932,0.46021505376344085,0.5348401010014641,74.2
376,0.6596774193548387,0.6745519713261648,0.3403225806451613,0.3254480286738351,0.5305171580002934,75.2
381,0.6078853046594982,0.5899641577060932,0.3921146953405018,0.4100358422939068,0.5325861470009841,76.2
386,0.72831541218638,0.7383512544802867,0.2716845878136201,0.2616487455197133,0.5429883709985006,77.2
391,0.5379928315412187,0.5211469534050179,0.46200716845878137,0.47885304659498207,0.5317342970010941,78.2
396,0.4050179211469534,0.4100358422939068,0.5949820788530465,0.5899641577060932,0.5287202629988315,79.2
401,0.5487455197132617,0.5132616487455197,0.45125448028673837,0.4867383512544803,0.5375205849995837,80.2
406,0.5003584229390681,0.5211469534050179,0.4996415770609319,0.47885304659498207,0.5329330549975566,81.2
411,0.3025089605734767,0.3103942652329749,0.6974910394265234,0.6896057347670251,0.5496298029975151,82.2
416,0.396594982078853,0.37060931899641575,0.603405017921147,0.6293906810035842,0.5337080620010966,83.2
421,0.47939068100358423,0.47025089605734766,0.5206093189964157,0.5297491039426523,0.5173034209983598,84.2
426,0.3919354838709677,0.36630824372759857,0.6080645161290322,0.6336917562724015,0.5157287170004565,85.2
431,0.40304659498207884,0.4,0.5969534050179212,0.6,0.5235588940013258,86.2
436,0.5682795698924731,0.6150537634408603,0.43172043010752686,0.3849462365591398,0.5199209339989466,87.2
441,0.4775985663082437,0.45878136200716846,0.5224014336917563,0.5412186379928315,0.5206073359986476,88.2
446,0.3310035842293907,0.3103942652329749,0.6689964157706093,0.6896057347670251,0.5254791580009623,89.2
451,0.3602150537634409,0.353405017921147,0.6397849462365591,0.646594982078853,0.5252325740002561,90.2
456,0.5720430107526882,0.6121863799283154,0.42795698924731185,0.3878136200716846,0.5305839199972979,91.2
461,0.47419354838709676,0.5161290322580645,0.5258064516129032,0.4838709677419355,0.5279829290011548,92.2
466,0.4396057347670251,0.4150537634408602,0.5603942652329749,0.5849462365591398,0.528460568999435,93.2
471,0.6741935483870968,0.6903225806451613,0.3258064516129032,0.3096774193548387,0.5367783040019276,94.2
476,0.4329749103942652,0.4236559139784946,0.5670250896057347,0.5763440860215053,0.5221988999983296,95.2
481,0.38691756272401434,0.35053763440860214,0.6130824372759857,0.6494623655913978,0.5222091729992826,96.2
486,0.47419354838709676,0.45089605734767024,0.5258064516129032,0.5491039426523298,0.5240757449973898,97.2
491,0.2899641577060932,0.2838709677419355,0.7100358422939068,0.7161290322580646,0.5241676559999178,98.2
496,0.2931899641577061,0.26594982078853047,0.706810035842294,0.7340501792114695,0.5131089140013501,99.2
501,0.48727598566308244,0.5039426523297491,0.5127240143369176,0.4960573476702509,0.5227234800004226,100.2
506,0.5890681003584229,0.6007168458781362,0.41093189964157706,0.3992831541218638,0.522518730002048,101.2
511,0.3702508960573477,0.3340501792114695,0.6297491039426524,0.6659498207885305,0.5167354669974884,102.2
516,0.374910394265233,0.37992831541218636,0.625089605734767,0.6200716845878136,0.5235789129983459,103.2
521,0.5313620071684588,0.4824372759856631,0.46863799283154123,0.5175627240143369,0.5200488839982427,104.2
526,0.4593189964157706,0.45017921146953405,0.5406810035842294,0.5498207885304659,0.542825171000004,105.2
531,0.2722222222222222,0.24444444444444444,0.7277777777777777,0.7555555555555555,0.5179553569978452,106.2
536,0.4344086021505376,0.4336917562724014,0.5655913978494623,0.5663082437275986,0.5279856359993573,107.2
541,0.33440860215053764,0.30824372759856633,0.6655913978494624,0.6917562724014337,0.523404291998304,108.2
546,0.7159498207885304,0.749820788530466,0.2840501792114695,0.25017921146953404,0.5224752809990605,109.2
551,0.5971326164874552,0.6043010752688172,0.4028673835125448,0.3956989247311828,0.5272486950016173,110.2
556,0.3123655913978495,0.30752688172043013,0.6876344086021505,0.6924731182795699,0.5174986220008577,111.2
561,0.5238351254480287,0.5405017921146953,0.4761648745519713,0.45949820788530465,0.5310489390030853,112.2
566,0.6921146953405017,0.7189964157706094,0.3078853046594982,0.2810035842293907,0.533159546997922,113.2
571,0.4127240143369176,0.38924731182795697,0.5872759856630825,0.610752688172043,0.5231220220011892,114.2
576,0.4505376344086022,0.47240143369175625,0.5494623655913978,0.5275985663082438,0.5658204360006494,115.2
581,0.33835125448028674,0.3161290322580645,0.6616487455197133,0.6838709677419355,0.5321505009997054,116.2
586,0.5763440860215053,0.567741935483871,0.4236559139784946,0.432258064516129,0.5525680300015665,117.2
591,0.43655913978494626,0.45663082437275987,0.5634408602150538,0.5433691756272402,0.5454233470009058,118.2
596,0.532437275985663,0.4967741935483871,0.4675627240143369,0.5032258064516129,0.5282503710004676,119.2
601,0.4258064516129032,0.432258064516129,0.5741935483870968,0.567741935483871,0.5280047810010728,120.2
606,0.5313620071684588,0.5419354838709678,0.46863799283154123,0.45806451612903226,0.5291955970023992,121.2
611,0.656989247311828,0.6645161290322581,0.34301075268817205,0.33548387096774196,0.5290712989990425,122.2
616,0.6116487455197133,0.6408602150537634,0.38835125448028673,0.35913978494623655,0.5236982569986139,123.2
621,0.6448028673835126,0.6566308243727599,0.35519713261648744,0.3433691756272401,0.5263282520027133,124.2
626,0.6188172043010752,0.5992831541218638,0.3811827956989247,0.4007168458781362,0.5273215339984745,125.2
631,0.5338709677419354,0.5211469534050179,0.4661290322580645,0.47885304659498207,0.5349728460023471,126.2
636,0.5449820788530466,0.5469534050179211,0.4550179211469534,0.45304659498207883,0.5413067590015999,127.2
641,0.5494623655913978,0.5519713261648745,0.4505376344086022,0.44802867383512546,0.552927548000298,128.2
646,0.5655913978494623,0.5448028673835126,0.4344086021505376,0.4551971326164875,0.5403767940006219,129.2
651,0.6362007168458781,0.6422939068100358,0.36379928315412186,0.35770609318996416,0.5362114390009083,130.2
656,0.6419354838709678,0.646594982078853,0.3580645161290323,0.353405017921147,0.5359032150008716,131.2
661,0.35232974910394266,0.3204301075268817,0.6476702508960573,0.6795698924731183,0.5322729049985355,132.2
666,0.44050179211469537,0.4229390681003584,0.5594982078853047,0.5770609318996416,0.5197958429998835,133.2
671,0.4197132616487455,0.392831541218638,0.5802867383512544,0.607168458781362,0.541100140002527,134.2
676,0.6066308243727598,0.6329749103942652,0.39336917562724016,0.36702508960573477,0.5417206490019453,135.2
681,0.33602150537634407,0.32974910394265233,0.6639784946236559,0.6702508960573477,0.5378343770025822,136.2
686,0.29354838709677417,0.26810035842293906,0.7064516129032258,0.7318996415770609,0.5426803289992677,137.2
691,0.5910394265232974,0.6164874551971327,0.4089605734767025,0.3835125448028674,0.5417912749981042,138.2
696,0.7,0.7218637992831541,0.3,0.27813620071684586,0.5499272720007866,139.2
701,0.5089605734767025,0.546236559139785,0.4910394265232975,0.45376344086021503,0.5382317350013182,140.2
706,0.4743727598566308,0.46236559139784944,0.5256272401433691,0.5376344086021505,0.5324281079992943,141.2
711,0.36774193548387096,0.33835125448028674,0.632258064516129,0.6616487455197133,0.5340292339969892,142.2
716,0.44713261648745517,0.44659498207885306,0.5528673835125448,0.5534050179211469,0.5237754090012459,143.2
721,0.3844086021505376,0.3942652329749104,0.6155913978494624,0.6057347670250897,0.5286397349991603,144.2
726,0.2896057347670251,0.26666666666666666,0.7103942652329749,0.7333333333333333,0.5233598599988909,145.2
731,0.3310035842293907,0.3132616487455197,0.6689964157706093,0.6867383512544802,0.5191819220017351,146.2
736,0.5397849462365591,0.5627240143369175,0.46021505376344085,0.43727598566308246,0.530384272999072,147.2
741,0.5835125448028674,0.5949820788530465,0.4164874551971326,0.4050179211469534,0.5399456699997245,148.2
746,0.4396057347670251,0.45734767025089607,0.5603942652329749,0.5426523297491039,0.5426578900005552,149.2
751,0.3326164874551971,0.3225806451612903,0.6673835125448029,0.6774193548387096,0.554455464000057,150.2
756,0.4252688172043011,0.4114695340501792,0.5747311827956989,0.5885304659498208,0.5422526359980111,151.2
761,0.42473118279569894,0.4336917562724014,0.5752688172043011,0.5663082437275986,0.5406661950000853,152.2
766,0.3424731182795699,0.3333333333333333,0.6575268817204301,0.6666666666666666,0.5279641180022736,153.2
771,0.285663082437276,0.2530465949820789,0.714336917562724,0.7469534050179212,0.5121683799989114,154.2
776,0.44480286738351255,0.44946236559139785,0.5551971326164875,0.5505376344086022,0.5333612389986229,155.2
781,0.7200716845878136,0.7412186379928315,0.2799283154121864,0.25878136200716845,0.5251152700002422,156.2
786,0.5336917562724014,0.5620071684587814,0.46630824372759855,0.43799283154121865,0.5275139469995338,157.2
791,0.7001792114695341,0.7225806451612903,0.29982078853046595,0.27741935483870966,0.5294068769981095,158.2
796,0.3347670250896057,0.32903225806451614,0.6652329749103942,0.6709677419354839,0.5357210800029861,159.2
801,0.6448028673835126,0.6444444444444445,0.35519713261648744,0.35555555555555557,0.5416154570011713,160.2
806,0.34946236559139787,0.35698924731182796,0.6505376344086021,0.6430107526881721,0.5466744310033391,161.2
811,0.3503584229390681,0.3218637992831541,0.649641577060932,0.6781362007168459,0.5538259929999185,162.2
816,0.4444444444444444,0.4258064516129032,0.5555555555555556,0.5741935483870968,0.5428871740004979,163.2
821,0.26899641577060934,0.24731182795698925,0.7310035842293907,0.7526881720430108,0.5536021779989824,164.2
826,0.45770609318996414,0.45806451612903226,0.5422939068100359,0.5419354838709678,0.574368493998918,165.2
831,0.7046594982078853,0.7232974910394265,0.2953405017921147,0.27670250896057347,0.5425399230007315,166.2
836,0.34444444444444444,0.3132616487455197,0.6555555555555556,0.6867383512544802,0.536829739001405,167.2
841,0.5691756272401434,0.5648745519713262,0.43082437275985663,0.4351254480286738,0.5405888389977918,168.2
846,0.6301075268817204,0.5992831541218638,0.36989247311827955,0.4007168458781362,0.5379434629976458,169.2
851,0.5163082437275985,0.5218637992831541,0.4836917562724014,0.47813620071684587,0.542045431000588,170.2
856,0.5236559139784946,0.5118279569892473,0.47634408602150535,0.4881720430107527,0.536679090000689,171.2
861,0.33906810035842294,0.35268817204301073,0.6609318996415771,0.6473118279569893,0.5379634250020899,172.2
866,0.5268817204301075,0.5283154121863799,0.4731182795698925,0.47168458781362005,0.560379867998563,173.2
871,0.6268817204301075,0.6043010752688172,0.37311827956989246,0.3956989247311828,0.5431189999981143,174.2
876,0.646415770609319,0.6724014336917563,0.353584229390681,0.32759856630824374,0.5361223879990575,175.2
881,0.47114695340501794,0.4437275985663082,0.5288530465949821,0.5562724014336917,0.5196400990025722,176.2
886,0.3446236559139785,0.3541218637992832,0.6553763440860215,0.6458781362007169,0.5263798919986584,177.2
891,0.4507168458781362,0.4150537634408602,0.5492831541218638,0.5849462365591398,0.5215986690018326,178.2
896,0.32759856630824374,0.3053763440860215,0.6724014336917563,0.6946236559139785,0.5225902010024583,179.2
901,0.5912186379928316,0.6057347670250897,0.40878136200716847,0.3942652329749104,0.524453314999846,180.2
906,0.589426523297491,0.5670250896057347,0.410573476702509,0.4329749103942652,0.5358065669970529,181.2
911,0.6686379928315412,0.7168458781362007,0.33136200716845876,0.2831541218637993,0.5340513819974149,182.2
916,0.48440860215053766,0.4752688172043011,0.5155913978494624,0.524731182795699,0.5344712160003837,183.2
921,0.7281362007168459,0.7519713261648745,0.27186379928315413,0.24802867383512545,0.5418131789992913,184.2
926,0.4299283154121864,0.43010752688172044,0.5700716845878137,0.5698924731182796,0.5368667039983848,185.2
931,0.7154121863799283,0.7440860215053764,0.2845878136200717,0.25591397849462366,0.5495100719999755,186.2
936,0.2664874551971326,0.24086021505376345,0.7335125448028674,0.7591397849462366,0.5325110650010174,187.2
941,0.6885304659498208,0.7111111111111111,0.3114695340501792,0.28888888888888886,0.5376877529997728,188.2
946,0.6478494623655914,0.6258064516129033,0.3521505376344086,0.3741935483870968,0.5471380240014696,189.2
951,0.5410394265232975,0.5390681003584229,0.4589605734767025,0.46093189964157705,0.5446960849985771,190.2
956,0.4596774193548387,0.43082437275985663,0.5403225806451613,0.5691756272401434,0.5871543530010968,191.2
961,0.6146953405017921,0.621505376344086,0.38530465949820786,0.37849462365591396,0.5772832100010419,192.2
966,0.603405017921147,0.6121863799283154,0.396594982078853,0.3878136200716846,0.5443641259989818,193.2
971,0.6684587813620072,0.6616487455197133,0.33154121863799285,0.33835125448028674,0.5779102280030202,194.2
976,0.6041218637992831,0.5992831541218638,0.3958781362007168,0.4007168458781362,0.5746278520018677,195.2
981,0.535663082437276,0.5290322580645161,0.464336917562724,0.47096774193548385,0.5618682189997344,196.2
986,0.7231182795698925,0.7362007168458782,0.2768817204301075,0.2637992831541219,0.5363416580003104,197.2
991,0.6173835125448028,0.6236559139784946,0.3826164874551971,0.3763440860215054,0.5269781400020292,198.2
996,0.3525089605734767,0.33691756272401435,0.6474910394265233,0.6630824372759857,0.5139462980005192,199.2
